stn_no,lat,long,Ave_NDVI,Rainfal
1,-5.447823,142.132202,0.891306,3893.864258
2,-5.364489,142.215535,0.871711,3961.105957
3,-5.447823,142.215535,0.859606,3899.93042
4,-5.531156,142.215535,0.888914,3893.388672
5,-5.614489,142.298868,0.843311,3930.189941
6,-5.531156,142.298868,0.8231,3871.42041
7,-5.447823,142.298868,0.835906,3878.569824
8,-5.364489,142.298868,0.82912,3944.409424
9,-5.114489,142.298868,0.853269,3922.830566
10,-5.031156,142.382202,0.838154,3783.414063
11,-5.114489,142.382202,0.841854,3848.551025
12,-5.197823,142.382202,0.882429,3901.227051
13,-5.281156,142.382202,0.836254,3906.210938
14,-5.364489,142.382202,0.853134,3859.019775
15,-5.447823,142.382202,0.839171,3823.42627
16,-5.531156,142.382202,0.799103,3817.796631
17,-5.614489,142.382202,0.83956,3856.193359
18,-5.697823,142.382202,0.838597,3906.566895
19,-5.781156,142.465535,0.839229,3778.011475
20,-5.697823,142.465535,0.824351,3774.930176
21,-5.614489,142.465535,0.829183,3757.503174
22,-5.531156,142.465535,0.799903,3743.451416
23,-5.447823,142.465535,0.847571,3731.376709
24,-5.364489,142.465535,0.821669,3752.680176
25,-5.281156,142.465535,0.868146,3771.912598
26,-5.197823,142.465535,0.849511,3770.073975
27,-5.114489,142.465535,0.873611,3745.851074
28,-5.031156,142.465535,0.884057,3710.220703
29,-5.031156,142.548868,0.879871,3630.972412
30,-5.114489,142.548868,0.874691,3661.417725
31,-5.197823,142.548868,0.881971,3668.809814
32,-5.281156,142.548868,0.87354,3669.573242
33,-5.364489,142.548868,0.854371,3665.591553
34,-5.447823,142.548868,0.835637,3658.618408
35,-5.531156,142.548868,0.838563,3654.604736
36,-5.614489,142.548868,0.851923,3672.49585
37,-5.697823,142.548868,0.81518,3672.49707
38,-5.781156,142.548868,0.758751,3673.379395
39,-5.864489,142.548868,0.807783,3669.76001
40,-6.781156,142.632202,0.872506,4026.739258
41,-6.697823,142.632202,0.88304,4008.902832
42,-6.614489,142.632202,0.874617,3936.16626
43,-6.531156,142.632202,0.888263,3839.21582
44,-6.447823,142.632202,0.8724,3757.144775
45,-6.364489,142.632202,0.883771,3720.447266
46,-6.281156,142.632202,0.860603,3703.140137
47,-6.197823,142.632202,0.870263,3678.480957
48,-6.114489,142.632202,0.869731,3653.780273
49,-6.031156,142.632202,0.8834,3630.024414
50,-5.947823,142.632202,0.8729,3619.568115
51,-5.864489,142.632202,0.806077,3618.416748
52,-5.781156,142.632202,0.845886,3619.165283
53,-5.697823,142.632202,0.81706,3617.663086
54,-5.614489,142.632202,0.80308,3601.828369
55,-5.531156,142.632202,0.842303,3599.799072
56,-5.447823,142.632202,0.858537,3605.563721
57,-5.364489,142.632202,0.88302,3616.599365
58,-5.281156,142.632202,0.8908,3624.373291
59,-5.197823,142.632202,0.897086,3623.770996
60,-5.114489,142.632202,0.871429,3605.826172
61,-5.031156,142.632202,0.897691,3587.381836
62,-5.031156,142.715535,0.879671,3556.359863
63,-5.114489,142.715535,0.878274,3590.704834
64,-5.197823,142.715535,0.87936,3622.835938
65,-5.281156,142.715535,0.885314,3628.44751
66,-5.364489,142.715535,0.900637,3600.828369
67,-5.447823,142.715535,0.879986,3569.769531
68,-5.531156,142.715535,0.87178,3560.177246
69,-5.614489,142.715535,0.824066,3576.859619
70,-5.697823,142.715535,0.847569,3606.057129
71,-5.781156,142.715535,0.853089,3613.862793
72,-5.864489,142.715535,0.857903,3597.267334
73,-5.947823,142.715535,0.86424,3587.837891
74,-6.031156,142.715535,0.851257,3604.847168
75,-6.114489,142.715535,0.869514,3649.682373
76,-6.197823,142.715535,0.866246,3694.382813
77,-6.281156,142.715535,0.871849,3705.116211
78,-6.364489,142.715535,0.864043,3705.218994
79,-6.447823,142.715535,0.861629,3749.564209
80,-6.531156,142.715535,0.8622,3849.431885
81,-6.614489,142.715535,0.90244,3972.718994
82,-6.697823,142.715535,0.907083,4062.479248
83,-6.781156,142.715535,0.864423,4074.255615
84,-5.114489,142.798868,0.885343,3564.367188
85,-5.197823,142.798868,0.879403,3610.677246
86,-5.281156,142.798868,0.891506,3617.036377
87,-5.364489,142.798868,0.841671,3575.040283
88,-5.447823,142.798868,0.878754,3528.031738
89,-5.531156,142.798868,0.85686,3515.099609
90,-5.614489,142.798868,0.851457,3542.992188
91,-5.697823,142.798868,0.880443,3590.894531
92,-5.781156,142.798868,0.883171,3603.827393
93,-5.864489,142.798868,0.873169,3570.833252
94,-5.947823,142.798868,0.862374,3548.668945
95,-6.031156,142.798868,0.836063,3566.268066
96,-6.114489,142.798868,0.84146,3622.621582
97,-6.197823,142.798868,0.894797,3682.580811
98,-6.281156,142.798868,0.888789,3695.457764
99,-6.364489,142.798868,0.894626,3685.982178
100,-6.447823,142.798868,0.872317,3725.538574
